27900	Joplin, MO	29	37592
27940	Juneau, AK	02	36400
27980	Kahului, HI	15	22700
28020	Kalamazoo, MI	26	42160
28060	Kalispell, MT	30	40075
28100	Kankakee, IL	17	38934
28140	Kansas City, MO	29	38000
28180	Kapaa, HI	15	28850
28260	Kearney, NE	31	25055
28300	Keene, NH	33	39300
28340	Kendallville, IN	18	39402
28380	Kennett, MO	29	38306
28420	Kennewick, WA	53	35275
28500	Kerrville, TX	48	39040
28540	Ketchikan, AK	02	38970
28580	Key West, FL	12	36550
28620	Kill Devil Hills, NC	37	35720
28660	Killeen, TX	48	39148
28700	Kingsport, TN	47	39560
28740	Kingston, NY	36	39727
28780	Kingsville, TX	48	39352
28820	Kinston, NC	37	35920
28860	Kirksville, MO	29	39026
28900	Klamath Falls, OR	41	39700
28940	Knoxville, TN	47	40000
28980	Kodiak, AK	02	40950
29020	Kokomo, IN	18	40392
29060	Laconia, NH	33	40180
29100	La Crosse, WI	55	40775
29140	Lafayette, IN	18	40788
29180	Lafayette, LA	22	40735
29220	La Follette, TN	47	40180
29260	La Grande, OR	41	40350
29300	LaGrange, GA	13	44340
29340	Lake Charles, LA	22	41155
29380	Lake City, FL	12	37775
29420	Lake Havasu City, AZ	04	39370
29460	Lakeland, FL	12	38250
29500	Lamesa, TX	48	41164
29540	Lancaster, PA	42	41216
29580	Lancaster, SC	45	39895
29620	Lansing, MI	26	46000
29660	Laramie, WY	56	45050
29700	Laredo, TX	48	41464
29740	Las Cruces, NM	35	39380
29780	Las Vegas, NM	35	39940
29820	Las Vegas, NV	32	40000
29860	Laurel, MS	28	39640
29900	Laurinburg, NC	37	37220
29940	Lawrence, KS	20	38900
29980	Lawrenceburg, TN	47	41340
30020	Lawton, OK	40	41850
30060	Lebanon, MO	29	41168
30100	Lebanon, NH	33	41300
30140	Lebanon, PA	42	42168
30220	Levelland, TX	48	42448
30260	Lewisburg, PA	42	42976
30280	Lewisburg, TN	47	41860
30300	Lewiston, ID	16	46540
30340	Lewiston, ME	23	38740
30380	Lewistown, PA	42	43000
30420	Lexington, NE	31	26910
30460	Lexington-Fayette, KY	21	46027
30500	Lexington Park, MD	24	46725
30580	Liberal, KS	20	39825
30620	Lima, OH	39	43554
30660	Lincoln, IL	17	43536
30700	Lincoln, NE	31	28000
30740	Lincolnton, NC	37	38320
30780	Little Rock, AR	05	41000
30820	Lock Haven, PA	42	44128
30860	Logan, UT	49	45860
30900	Logansport, IN	18	44658
30940	London, KY	21	47476
30980	Longview, TX	48	43888
31020	Longview, WA	53	40245
31060	Los Alamos, NM	35	42320
31100	Los Angeles, CA	06	44000
31140	Louisville/Jefferson County (balance), KY	21	48006
31180	Lubbock, TX	48	45000
31260	Lufkin, TX	48	45072
31300	Lumberton, NC	37	39700
31340	Lynchburg, VA	51	47672
31380	Macomb, IL	17	45889
31420	Macon, GA	13	49000
31460	Madera, CA	06	45022
31500	Madison, IN	18	45990
31540	Madison, WI	55	48000
31580	Madisonville, KY	21	49368
31620	Magnolia, AR	05	43460
31660	Malone, NY	36	44710
31700	Manchester, NH	33	45140
31740	Manhattan, KS	20	44250
31820	Manitowoc, WI	55	48500
31860	Mankato, MN	27	39878
31900	Mansfield, OH	39	47138
31940	Marinette, WI	55	49300
31980	Marion, IN	18	46908
32020	Marion, OH	39	47754
32060	Marion, IL	17	46916
32100	Marquette, MI	26	51900
32140	Marshall, MN	27	40688
32180	Marshall, MO	29	46316
32220	Marshall, TX	48	46776
32260	Marshalltown, IA	19	49755
32270	Marshfield, WI	55	49675
32280	Martin, TN	47	46240
32300	Martinsville, VA	51	49784
32340	Maryville, MO	29	46640
32380	Mason City, IA	19	50160
32420	Mayagüez, PR	72	52431
32460	Mayfield, KY	21	50898
32500	Maysville, KY	21	51024
32540	McAlester, OK	40	44800
32580	McAllen, TX	48	45384
32620	McComb, MS	28	43280
32660	McMinnville, TN	47	45100
32700	McPherson, KS	20	43950
32740	Meadville, PA	42	48360
32780	Medford, OR	41	47000
32820	Memphis, TN	47	48000
32860	Menomonie, WI	55	51025
32900	Merced, CA	06	46898
32940	Meridian, MS	28	46640
32980	Merrill, WI	55	51250
33020	Mexico, MO	29	47648
33060	Miami, OK	40	48000
33100	Miami, FL	12	45000
33140	Michigan City, IN	18	48798
33180	Middlesborough, KY	21	51924
33220	Midland, MI	26	53780
33260	Midland, TX	48	48072
33300	Milledgeville, GA	13	51492
33340	Milwaukee, WI	55	53000
33380	Minden, LA	22	50885
33420	Mineral Wells, TX	48	48684
33460	Minneapolis, MN	27	43000
33500	Minot, ND	38	53380
33540	Missoula, MT	30	50200
33580	Mitchell, SD	46	43100
33620	Moberly, MO	29	49034
33660	Mobile, AL	01	50000
33700	Modesto, CA	06	48354
33740	Monroe, LA	22	51410
33780	Monroe, MI	26	55020
33820	Monroe, WI	55	53750
33860	Montgomery, AL	01	51000
33940	Montrose, CO	08	51745
33980	Morehead City, NC	37	44320
34020	Morgan City, LA	22	52040
34060	Morgantown, WV	54	55756
34100	Morristown, TN	47	50280
34140	Moscow, ID	16	54550
34180	Moses Lake, WA	53	47245
34220	Moultrie, GA	13	53060
34260	Mountain Home, AR	05	47390
34300	Mountain Home, ID	16	54730
34340	Mount Airy, NC	37	44800
34380	Mount Pleasant, MI	26	56020
34420	Mount Pleasant, TX	48	49800
34460	Mount Sterling, KY	21	54084
34500	Mount Vernon, IL	17	51180
34540	Mount Vernon, OH	39	53102
34580	Mount Vernon, WA	53	47560
34620	Muncie, IN	18	51876
34660	Murray, KY	21	54642
34700	Muscatine, IA	19	55110
34740	Muskegon, MI	26	56320
34780	Muskogee, OK	40	50050
34820	Myrtle Beach, SC	45	49075
34860	Nacogdoches, TX	48	50256
34900	Napa, CA	06	50258
