SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,BIRTHS2010,BIRTHS2011,BIRTHS2012,DEATHS2010,DEATHS2011,DEATHS2012,NATURALINC2010,NATURALINC2011,NATURALINC2012,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,NETMIG2010,NETMIG2011,NETMIG2012,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,RBIRTH2011,RBIRTH2012,RDEATH2011,RDEATH2012,RNATURALINC2011,RNATURALINC2012,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RDOMESTICMIG2011,RDOMESTICMIG2012,RNETMIG2011,RNETMIG2012
050,4,8,30,003,Montana,Big Horn County,12865,12865,12919,13071,13061,54,152,-10,76,261,300,17,61,87,59,200,213,0,-2,-1,-1,-62,-223,-1,-64,-224,-4,16,1,137,137,137,137,20.084647942,22.96035512,4.6941131204,6.6585029848,15.390534821,16.301852135,-0.153905348,-0.076534517,-4.771065795,-17.06719731,-4.924971143,-17.14373182
050,4,8,30,005,Montana,Blaine County,6491,6491,6474,6567,6683,-17,93,116,18,112,130,26,45,38,-8,67,92,0,0,0,-7,26,26,-7,26,26,-2,0,-2,220,220,220,220,17.176596887,19.622641509,6.9013112491,5.7358490566,10.275285638,13.886792453,0,0,3.9874242773,3.9245283019,3.9874242773,3.9245283019
050,4,8,30,007,Montana,Broadwater County,5612,5612,5632,5731,5756,20,99,25,16,50,41,14,41,47,2,9,-6,0,-1,-1,18,86,32,18,85,31,0,5,0,52,52,52,52,8.8004928276,7.1385043963,7.2164041186,8.1831635762,1.584088709,-1.04465918,-0.176009857,-0.174109863,15.136847663,5.5715156264,14.960837807,5.397405763
050,4,8,30,009,Montana,Carbon County,10078,10078,10067,10093,10127,-11,26,34,20,86,67,35,86,80,-15,0,-13,2,10,10,4,20,37,6,30,47,-2,-4,0,53,53,53,53,8.5317460317,6.6271018793,8.5317460317,7.9129574679,0,-1.285855589,0.9920634921,0.9891196835,1.9841269841,3.6597428289,2.9761904762,4.6488625124
050,4,8,30,011,Montana,Carter County,1160,1160,1154,1142,1177,-6,-12,35,3,12,10,6,12,12,-3,0,-2,0,0,0,-3,-12,36,-3,-12,36,0,0,1,11,11,11,11,10.452961672,8.624407072,10.452961672,10.349288486,0,-1.724881414,0,0,-10.45296167,31.047865459,-10.45296167,31.047865459
050,4,8,30,013,Montana,Cascade County,81327,81327,81540,81769,81723,213,229,-46,296,1186,1176,167,747,732,129,439,444,39,30,222,49,-223,-718,88,-193,-496,-4,-17,6,2562,2562,2487,2477,14.52461285,14.386025004,9.1483016858,8.9545665843,5.3763111647,5.43145842,0.3674016741,2.71572921,-2.731019111,-8.783304382,-2.363617437,-6.067575172
050,4,8,30,015,Montana,Chouteau County,5813,5813,5807,5776,5904,-6,-31,128,14,42,39,21,47,66,-7,-5,-27,0,2,3,2,-30,150,2,-28,153,-1,2,2,135,135,135,135,7.252007252,6.6780821918,8.1153414487,11.301369863,-0.863334197,-4.623287671,0.3453336787,0.5136986301,-5.18000518,25.684931507,-4.834671501,26.198630137
050,4,8,30,017,Montana,Custer County,11699,11699,11700,11780,11888,1,80,108,36,146,152,44,142,149,-8,4,3,3,10,10,6,71,97,9,81,107,0,-5,-2,413,413,418,413,12.436115843,12.844346797,12.095400341,12.590839953,0.3407155026,0.2535068447,0.8517887564,0.8450228156,6.0477001704,8.1967213115,6.8994889267,9.0417441271
050,4,8,30,019,Montana,Daniels County,1751,1751,1743,1772,1786,-8,29,14,4,19,23,12,20,18,-8,-1,5,0,0,0,1,29,10,1,29,10,-1,1,-1,41,41,41,41,10.810810811,12.92861158,11.379800853,10.118043845,-0.568990043,2.8105677347,0,0,16.500711238,5.6211354694,16.500711238,5.6211354694
050,4,8,30,021,Montana,Dawson County,8966,8966,8930,8999,9249,-36,69,250,29,117,106,38,96,96,-9,21,10,0,0,0,-26,34,236,-26,34,236,-1,14,4,498,498,499,500,13.051480841,11.61771153,10.708907357,10.521701008,2.3425734843,1.0960105217,0,0,3.7927380222,25.865848312,3.7927380222,25.865848312
050,4,8,30,023,Montana,Deer Lodge County,9298,9298,9306,9241,9227,8,-65,-14,23,73,84,29,130,134,-6,-57,-50,0,0,1,14,-14,34,14,-14,35,0,6,1,811,811,801,806,7.8718930285,9.0968161144,14.01843964,14.511587611,-6.146546611,-5.414771497,0,0.1082954299,-1.509678115,3.6820446177,-1.509678115,3.7903400476
